# %ECSV 1.0
# ---
# datatype:
# - {name: snapNr, datatype: uint8, description: Snapshot number}
# - {name: z, datatype: float32, description: Redshift}
# - {name: a, datatype: float32, description: scale factor}
# schema: astropy-2.0
snapNr z a
0 13.956626 0.06686
1 12.687381 0.07306
2 11.509382 0.07994
3 10.4416485 0.0874
4 9.472301 0.09549
5 8.587728 0.1043
6 7.764242 0.1141
7 7.0256824 0.1246
8 6.347539 0.1361
9 5.725402 0.14869
10 5.1549826 0.16247
11 4.630631 0.1776
12 4.268704 0.1898
13 3.9307232 0.20281
14 3.6095695 0.21694
15 3.3151808 0.23174
16 3.12916 0.24218
17 2.9508514 0.25311
18 2.779575 0.26458
19 2.6155903 0.27658
20 2.4582927 0.28916
21 2.309505 0.30216
22 2.1655588 0.3159
23 2.0288346 0.33016
24 1.8969555 0.34519
25 1.7713115 0.36084
26 1.6509027 0.37723
27 1.5358186 0.39435
28 1.4257126 0.41225
29 1.3211012 0.43083
30 1.2202487 0.4504
31 1.1240892 0.47079
32 1.0319009 0.49215
33 0.9442769 0.51433
34 0.8595655 0.53776
35 0.77916944 0.56206
36 0.70206976 0.58752
37 0.62813413 0.6142
38 0.55789936 0.64189
39 0.48993552 0.67117
40 0.42559803 0.70146
41 0.36407042 0.7331
42 0.3046825 0.76647
43 0.2480967 0.80122
44 0.19424379 0.83735
45 0.14247847 0.87529
46 0.0928843 0.91501
47 0.04553294 0.95645
48 0.022683144 0.97782
49 2.002716e-05 0.99998
